run_id,policy,scenario,seed,episodes,max_steps,deterministic,reward_total_mean,delivered_total_mean,dropped_total_mean,energy_kwh_total_mean,carbon_g_total_mean,avg_utilization_mean,active_ratio_mean,avg_delay_ms_mean,results_dir,status,error
20260201_183023,all_on,normal,0,50,300,True,-862.5666907407021,7856.138677355479,8506.926815276356,0.019999999999999907,0.08737535940824022,0.22480647543309218,1.0,4938.831941273987,results/20260201_183023__policy-all_on__scenario-normal__seed-0__tag-matrix_v1,ok,
20260201_183028,heuristic,normal,0,50,300,True,-872.8171025889554,7718.0790835221715,8651.982772746027,0.019166666666666634,0.08373471943289681,0.235844542752811,0.9473684430122375,4985.661500899675,results/20260201_183028__policy-heuristic__scenario-normal__seed-0__tag-matrix_v1,ok,
20260201_183033,ppo,normal,0,50,300,True,-863.1980884787823,7854.927010688812,8514.038481943024,0.01996944444444435,0.08697689109282708,0.2250829162080082,0.998070176243782,4938.321373976733,results/20260201_183033__policy-ppo__scenario-normal__seed-0__tag-matrix_v1,ok,
20260201_183040,all_on,burst,0,50,300,True,-1091.5779051764082,12966.802299207391,23185.852205679315,0.019999999999999907,0.08737535940824022,0.35780057193980364,1.0,5053.990543387638,results/20260201_183040__policy-all_on__scenario-burst__seed-0__tag-matrix_v1,ok,
20260201_183047,heuristic,burst,0,50,300,True,-1105.2426330943144,12570.169831031693,23572.03609469674,0.019263888888888848,0.0842496918381517,0.36708593674074896,0.9535087913274765,5046.810332077131,results/20260201_183047__policy-heuristic__scenario-burst__seed-0__tag-matrix_v1,ok,
20260201_183053,ppo,burst,0,50,300,True,-1092.0619059033656,12962.53116330216,23188.896068857273,0.019969388888888794,0.08698271736460499,0.3582231145864032,0.9980666674733162,5054.015843670641,results/20260201_183053__policy-ppo__scenario-burst__seed-0__tag-matrix_v1,ok,
20260201_183102,all_on,hotspot,0,50,300,True,-1042.4239059968916,6328.304636876544,12686.619906987798,0.019999999999999907,0.08737535940824022,0.23546898728187382,1.0,10334.875482068528,results/20260201_183102__policy-all_on__scenario-hotspot__seed-0__tag-matrix_v1,ok,
20260201_183107,heuristic,hotspot,0,50,300,True,-1064.9781620230206,6019.857587227256,12998.038052373253,0.019166666666666634,0.08373471943289681,0.23709314561557449,0.9473684430122375,9918.170841484402,results/20260201_183107__policy-heuristic__scenario-hotspot__seed-0__tag-matrix_v1,ok,
20260201_183112,ppo,hotspot,0,50,300,True,-1042.4423782191138,6328.304636876544,12686.619906987798,0.01996944444444435,0.08697689109282708,0.2358137826904667,0.998070176243782,10337.073143782407,results/20260201_183112__policy-ppo__scenario-hotspot__seed-0__tag-matrix_v1,ok,
20260201_183119,all_on,normal,1,50,300,True,-862.0873002154322,7851.398513042831,8499.686979589003,0.019999999999999907,0.08737535940824022,0.22477703379101022,1.0,4950.692238790402,results/20260201_183119__policy-all_on__scenario-normal__seed-1__tag-matrix_v1,ok,
